name,age,birth.dates,region,city,club,fall.league
Coastal FC 2000B,2000B,Jan 2000 to Dec 2000,BC,,Coastal FC,BCSPL U13fin
Coquitlam Metro Ford Millennium 2000B,2000B,Jan 2000 to Dec 2000,BC,,,BCSPL U13fin
Fusion FC 2000B,2000B,Jan 2000 to Dec 2000,BC,,Fusion FC,BCSPL U13fin
KSYSA Warriors Fogal 2001B,2001B,Jan 2000 to Dec 2000,BC,Kootenay South,KSYSA Warriors,
Magnuson Ford Mariners FC 2000B,2000B,Jan 2000 to Dec 2000,BC,,Magnuson Ford Mariners FC,BCSPL U13fin
Mountain United 2000B,2000B,Jan 2000 to Dec 2000,BC,,,BCSPL U13fin
Nelson United Selects 2001B,2001B,Jan 2000 to Dec 2000,BC,Nelson,Nelson Selects,
Surrey United 2000B,2000B,Jan 2000 to Dec 2000,BC,,Surrey United SC,BCSPL U13fin
Thompson Okanagan FC 2000B,2000B,Jan 2000 to Dec 2000,BC,,,BCSPL U13fin
Vancouver Island Wave 2000B,2000B,Jan 2000 to Dec 2000,BC,,,BCSPL U13fin
Central City Breakers FC Azaad 2001B,2001B,Jan 2001 to Dec 2001,BC,,Central City Breakers FC,Dist 5
Central City Breakers FC Blue Hawks 2001B,2001B,Jan 2001 to Dec 2001,BC,,Central City Breakers FC,Dist 5
3 Rivers Black B00,B00,Aug 2001 to Jul 2000,WA,Pasco,3 Rivers SC,RCL D3 U12
3 Rivers Killoy B00,B00,Aug 2001 to Jul 2000,WA,Pasco,3 Rivers SC,D6 Umbro U12
Aloha United Rangers B00,B00,Aug 2001 to Jul 2000,OR,,Aloha United,OPL 2nd Div U12
ASE Stephanson B00,B00,Aug 2001 to Jul 2000,WA,Pasco,Academy of Soccer Excellence,PSPL In-Copa U12
Azul FC Manchester United B00,B00,Aug 2001 to Jul 2000,OR,,,
BIFC Blue B00,B00,Aug 2001 to Jul 2000,WA,Bainbridge Island,Bainbridge Island FC,NPSL D1 U12
BIFC White B00,B00,Aug 2001 to Jul 2000,WA,Bainbridge Island,Bainbridge Island FC,D3 S3 U12
Blackhills FC Black B00,B00,Aug 2001 to Jul 2000,WA,Olympia,Blackhills FC,RCL D4 U12
Boise Nationals B00,B00,Aug 2001 to Jul 2000,ID,Boise,,IYSA District 3A U12
Breakers Derby B00,B00,Aug 2001 to Jul 2000,WA,Spokane,Breakers SC,D6 Adidas U12
Breakers Owen B00,B00,Aug 2001 to Jul 2000,WA,Spokane,Breakers SC,D6 Umbro U12
BSC Portland Black B00,B00,Aug 2001 to Jul 2000,OR,Portland,Bridlemile SC Portland,OPL NPL U12
BSC Portland White B00,B00,Aug 2001 to Jul 2000,OR,Portland,Bridlemile SC Portland,OPL 3rd Div U12
BYSC Select Cochran B00,B00,Aug 2001 to Jul 2000,WA,Bellevue,,NPSL D1 U12
Cascade FC Green B00,B00,Aug 2001 to Jul 2000,WA,,Cascade FC,PSPL WSPL U12
CB United B00,B00,Aug 2001 to Jul 2000,WA,,,PSPL In-Copa U12
Central WA SA Navy B00,B00,Aug 2001 to Jul 2000,WA,,,PSPL WSPL U12
CFC United B00,B00,Aug 2001 to Jul 2000,OR,,,OPL 2nd Div U12
Cheney Storm Hemenway B00,B00,Aug 2001 to Jul 2000,WA,,,D6 Reebok U12
Cobra Aguilitas B00,B00,Aug 2001 to Jul 2000,WA,,,PSPL WSPL U12
Cobra Deportivo Teca B00,B00,Aug 2001 to Jul 2000,T,,,
Columbia Basin YS Crushers B00,B00,Aug 2001 to Jul 2000,WA,,,D6 Reebok U12
Columbia River Utd Man U B00,B00,Aug 2001 to Jul 2000,OR,,,OPL 1st Div U12
Columbia United Hermiston Heat B00,B00,Aug 2001 to Jul 2000,OR,,,Rec
Corvallis Fusion B00,B00,Aug 2001 to Jul 2000,OR,Corvallis,,
Corvallis United Reign B00,B00,Aug 2001 to Jul 2000,OR,Corvallis,,OPL 1st Div U12
Crossfire Premier A B00,B00,Aug 2001 to Jul 2000,WA,Redmond,Crossfire Premier SC,RCL D1 U13
Crossfire Premier B B00,B00,Aug 2001 to Jul 2000,WA,Redmond,Crossfire Premier SC,RCL D1 U12
Crossfire Premier C B00,B00,Aug 2001 to Jul 2000,WA,Redmond,Crossfire Premier SC,RCL D3 U12
Crossfire Premier D B00,B00,Aug 2001 to Jul 2000,WA,Redmond,Crossfire Premier SC,RCL D4 U12
Crossfire Select Button B00,B00,Aug 2001 to Jul 2000,WA,Redmond,Crossfire Select SC,NPSL D2 U12
Crossfire Select Greenwalt B00,B00,Aug 2001 to Jul 2000,WA,Redmond,Crossfire Select SC,NPSL D1 U12
Crossfire Select Merrick B00,B00,Aug 2001 to Jul 2000,WA,Redmond,Crossfire Select SC,NPSL D1 U12
CUSC Thunder B00,B00,Aug 2001 to Jul 2000,OR,,Clackamas United SC,OPL 4th Div U12
Desna SC B00,B00,Aug 2001 to Jul 2000,WA,,Desna SC,PSPL Classic U12
Eastside FC Blue B00,B00,Aug 2001 to Jul 2000,WA,,Eastside FC,RCL D3 U12
Eastside FC Grey B00,B00,Aug 2001 to Jul 2000,WA,,Eastside FC,RCL D4 U12
Eastside FC Red B00,B00,Aug 2001 to Jul 2000,WA,,Eastside FC,RCL D1 U12
Eastside FC White B00,B00,Aug 2001 to Jul 2000,WA,,Eastside FC,RCL D2 U12
Eastside Timbers Black B00,B00,Aug 2001 to Jul 2000,OR,,Eastside United FC,OPL 2nd Div U12
Eastside Timbers Red B00,B00,Aug 2001 to Jul 2000,OR,,Eastside United FC,OPL NPL U12
EMFC Rovers Blue B00,B00,Aug 2001 to Jul 2000,OR,Eugene,Eugene Metro FC,OPL 1st Div U12
EMFC Rovers White B00,B00,Aug 2001 to Jul 2000,OR,Eugene,Eugene Metro FC,OPL 3rd Div U12
FC Alliance A B00,B00,Aug 2001 to Jul 2000,WA,Woodinvile,FC Alliance,RCL D1 U12
FC Alliance B B00,B00,Aug 2001 to Jul 2000,WA,Woodinvile,FC Alliance,RCL D3 U12
FC Alliance C B00,B00,Aug 2001 to Jul 2000,WA,Woodinvile,FC Alliance,RCL D4 U12
FC Edmonds Fury B00,B00,Aug 2001 to Jul 2000,WA,Edmonds,FC Edmonds,NPSL D2 U12
FC Kent Black B00,B00,Aug 2001 to Jul 2000,WA,Kent,FC Kent,D3 S3 U12
FC Nova SuperNova B00,B00,Aug 2001 to Jul 2000,ID,Boise,FC Nova,IYSA District 3A U12
FC Portland (mix) B00,B00,Aug 2001 to Jul 2000,OR,Portland,FC Portland,Tourn. team
FC Portland Navy B00,B00,Aug 2001 to Jul 2000,OR,Portland,FC Portland,OPL NPL U12
FC Portland White B00,B00,Aug 2001 to Jul 2000,OR,Portland,FC Portland,OPL 3rd Div U12
FC Salmon Creek Juventus B00,B00,Aug 2001 to Jul 2000,WA,Salmon Creek,FC Salmon Creek,OPL 2nd Div U12
FC Spokane Dinaro B00,B00,Aug 2001 to Jul 2000,WA,Spokane,FC Spokane,D6 Umbro U12
FC Spokane Sauther B00,B00,Aug 2001 to Jul 2000,WA,Spokane,FC Spokane,D6 Adidas U12
FC Spokane White Kennedy B00,B00,Aug 2001 to Jul 2000,WA,Spokane,FC Spokane,D6 Umbro U12
FC West Halcones B00,B00,Aug 2001 to Jul 2000,OR,Forest Grove,FC West,OPL 2nd Div U12
FC West Vikings B00,B00,Aug 2001 to Jul 2000,OR,Forest Grove,FC West,OPL 4th Div U12
FME Xtreme B00,B00,Aug 2001 to Jul 2000,WA,,,D3 S2 U12
Fuerza FC Academy B00,B00,Aug 2001 to Jul 2000,WA,,,PSPL Copa U12
FWFC Blue B00,B00,Aug 2001 to Jul 2000,WA,Federal Way,Federal Way FC,RCL D3 U12
FWFC Houston B00,B00,Aug 2001 to Jul 2000,WA,Federal Way,Federal Way FC,D3 S3 U12
FWFC Kempton B00,B00,Aug 2001 to Jul 2000,WA,Federal Way,Federal Way FC,D3 S2 U12
FWFC Sharks B00,B00,Aug 2001 to Jul 2000,WA,Federal Way,Federal Way FC,D3 S1 U12
FWFC Thunder B00,B00,Aug 2001 to Jul 2000,WA,Federal Way,Federal Way FC,D3 S3 U12
Harbor Premier Select B00,B00,Aug 2001 to Jul 2000,WA,,,RCL D3 U12
Highline Premier Blue B00,B00,Aug 2001 to Jul 2000,WA,Burien,Highline Premier FC,RCL D2 U12
Highline Select B00,B00,Aug 2001 to Jul 2000,WA,Burien,,NPSL D2 U12
HSC Lokomotiv B00,B00,Aug 2001 to Jul 2000,OR,Hillsboro,Hillsboro SC,OPL 2nd Div U12
HSC Richocet B00,B00,Aug 2001 to Jul 2000,OR,Hillsboro,Hillsboro SC,OPL 4th Div U12
Idaho Thunder B00,B00,Aug 2001 to Jul 2000,ID,Post Falls,Idaho Thunder,D6 Reebok U12
Impact FC Black B00,B00,Aug 2001 to Jul 2000,WA,Renton,Cascade SC,D3 S2 U12
ISC Arsenal Red B00,B00,Aug 2001 to Jul 2000,WA,Issaquah,Issaquah SC,NPSL D2 U12
ISC Gunners A B00,B00,Aug 2001 to Jul 2000,WA,Issaquah,Issaquah SC,PSPL WSPL U12
ISC Gunners B B00,B00,Aug 2001 to Jul 2000,WA,Issaquah,Issaquah SC,PSPL Classic U12
ISC Gunners C B00,B00,Aug 2001 to Jul 2000,WA,Issaquah,Issaquah SC,PSPL Copa U12
Islander FC B00,B00,Aug 2001 to Jul 2000,WA,,,PSPL Copa U12
Keizer Villareal B00,B00,Aug 2001 to Jul 2000,OR,,Keizer SC,PML Red U12
Kent United Green B00,B00,Aug 2001 to Jul 2000,WA,Kent,Kent United,NPSL D1 U12
Kent United White B00,B00,Aug 2001 to Jul 2000,WA,Kent,Kent United,D3 S1 U12
Kings B00,B00,Aug 2001 to Jul 2000,WA,,,Rec
KVJSA Ellensburg FC B00,B00,Aug 2001 to Jul 2000,WA,Ellensburg,,PSPL Classic U12
Lake Hills Fury B00,B00,Aug 2001 to Jul 2000,WA,Bellevue,Lake Hills SC,NPSL D2 U12
Lake Oswego SC Cyclones B00,B00,Aug 2001 to Jul 2000,OR,,Lake Oswego SC,OPL 1st Div U12
LASC Halcones B00,B00,Aug 2001 to Jul 2000,OR,,La Amistad SC,
LASC Leones Negros B00,B00,Aug 2001 to Jul 2000,OR,,La Amistad SC,PML Blue U12
LCYSA Timbers B00,B00,Aug 2001 to Jul 2000,OR,Warrenton,Lower Columbia Youth Soccer Assoc.,PML Red U12
Lynden Action B00,B00,Aug 2001 to Jul 2000,WA,,,Rec
Mayhem B00,B00,Aug 2001 to Jul 2000,WA,,,Rec
Mercer Island FC Gunners B00,B00,Aug 2001 to Jul 2000,WA,Mercer Island,Mercer Island FC,NPSL D1 U12
Milltown Hornets B00,B00,Aug 2001 to Jul 2000,OR,,,
Missoula Strikers B00,B00,Aug 2001 to Jul 2000,MT,Missoula,Missoula Strikers,
Moscow United B00,B00,Aug 2001 to Jul 2000,ID,Moscow,Moscow United SC,D6 Adidas U12
MRFC Blue B00,B00,Aug 2001 to Jul 2000,WA,Sumner,Mount Rainier FC,PSPL Copa U12
MVP Rapids Navy B00,B00,Aug 2001 to Jul 2000,WA,Maple Valley,Maple Valley SA,PSPL Copa U12
MYSA Wildcats B00,B00,Aug 2001 to Jul 2000,OR,McMinnville,McMinnville Youth Soccer Assoc.,PML Red U12
NEU Napoli B00,B00,Aug 2001 to Jul 2000,OR,Portland,Northeast United SC,OPL 3rd Div U12
NEU Rangers B00,B00,Aug 2001 to Jul 2000,OR,Portland,Northeast United SC,OPL 1st Div U12
Newport FC Cosmos B00,B00,Aug 2001 to Jul 2000,WA,Bellevue,Newport Youth SC,NPSL D2 U12
NK Ballistic B00,B00,Aug 2001 to Jul 2000,WA,Poulsbo,North Kitsap SC,PSPL Classic U12
Normandy Park FC Blue B00,B00,Aug 2001 to Jul 2000,WA,Normandy Park,Normandy Park FC,PSPL Copa U12
Normandy Park FC White B00,B00,Aug 2001 to Jul 2000,WA,Normandy Park,Normandy Park FC,PSPL WSPL U12
Nortac Colibri B00,B00,Aug 2001 to Jul 2000,WA,Tacoma,North Tacoma SC,D3 Gold U12
Nortac Cosmos B00,B00,Aug 2001 to Jul 2000,WA,Tacoma,North Tacoma SC,D3 Gold U12
NPFC B00,B00,Aug 2001 to Jul 2000,WA,,,Tourn. team
NSC Dynamo B00,B00,Aug 2001 to Jul 2000,WA,Woodinvile,Northshore SC,NPSL D2 U12
NSC Impact B00,B00,Aug 2001 to Jul 2000,WA,Woodinvile,Northshore SC,NPSL D2 U12
NW United Martin B00,B00,Aug 2001 to Jul 2000,WA,Burlington,NW United FC,PSPL WSPL U12
NWN Red B00,B00,Aug 2001 to Jul 2000,WA,,NW Nationals,RCL D2 U12
NWSSA FC Barcelona B00,B00,Aug 2001 to Jul 2000,OR,Portland,Northwest Soccer and Scouting Association,PML Blue U12
NWSSA FC Beavers B00,B00,Aug 2001 to Jul 2000,OR,Portland,Northwest Soccer and Scouting Association,PML Blue U12
ODR Mud Dogs B00,B00,Aug 2001 to Jul 2000,OR,,,PML Red U12
OHSC Firestorm B00,B00,Aug 2001 to Jul 2000,OR,Beaverton,Oak Hills SC,PML Red U12
Oregon City Legacy B00,B00,Aug 2001 to Jul 2000,OR,,,OPL 4th Div U12
Oregon Rush Nike B00,B00,Aug 2001 to Jul 2000,OR,Bend,Oregon Rush SC,OPL 1st Div U12
Oregon Rush Swoosh B00,B00,Aug 2001 to Jul 2000,OR,Bend,Oregon Rush SC,COSL U12
OSA Lightning B00,B00,Aug 2001 to Jul 2000,OR,Portland,Oregon Soccer Academy,OPL 4th Div U12
OSA Thunder B00,B00,Aug 2001 to Jul 2000,OR,Portland,Oregon Soccer Academy,OPL 1st Div U12
Pacific FC Blue B00,B00,Aug 2001 to Jul 2000,WA,Battleground,Pacific FC,PML Blue U12
Pacific FC Orange B00,B00,Aug 2001 to Jul 2000,WA,Battleground,Pacific FC,OPL 4th Div U12
PacNW Blue B00,B00,Aug 2001 to Jul 2000,WA,Tukwila,Pacific Northwest SC,RCL D3 U12
PacNW Maroon B00,B00,Aug 2001 to Jul 2000,WA,Tukwila,Pacific Northwest SC,RCL D2 U12
PCU Black B00,B00,Aug 2001 to Jul 2000,OR,Portland,Portland City United SC,OPL 3rd Div U12
PCU Red B00,B00,Aug 2001 to Jul 2000,OR,Portland,Portland City United SC,OPL 1st Div U12
PCU White B00,B00,Aug 2001 to Jul 2000,OR,Portland,Portland City United SC,OPL 4th Div U12
PSC Wolverines B00,B00,Aug 2001 to Jul 2000,WA,Puyallup,Puyallup SC,D3 S2 U12
Pullman Pumas Konkel B00,B00,Aug 2001 to Jul 2000,WA,Pullman,Pullman SC,D6 Reebok U12
Pumas (Mossyrock) B00,B00,Aug 2001 to Jul 2000,WA,Mossyrock,,PSPL Classic U12
RPSC Halcones B00,B00,Aug 2001 to Jul 2000,OR,,,OPL 3rd Div U12
RSA Elite Diamondbacks B00,B00,Aug 2001 to Jul 2000,WA,Puyallup,South Hill SC,PSPL Classic U12
RVSC Timbers Red B00,B00,Aug 2001 to Jul 2000,OR,Medford,Rogue Valley SC,SOCL Siskiyou U12
Sabers Lawton B00,B00,Aug 2001 to Jul 2000,WA,Spokane,Spokane Sabers FC,D6 Adidas U12
Sabers Rau B00,B00,Aug 2001 to Jul 2000,WA,Spokane,Spokane Sabers FC,D6 Reebok U12
San Carlos Chivas B00,B00,Aug 2001 to Jul 2000,WA,,,PSPL Classic U12
Sandpoint Strikers B00,B00,Aug 2001 to Jul 2000,ID,Sandpoint,Sandpoint Strikers FC,D6 Umbro U12
SCORE Eagles Red B00,B00,Aug 2001 to Jul 2000,WA,Newcastle,Soccer Club of Renton East,D3 Gold U12
SCORE Eagles White B00,B00,Aug 2001 to Jul 2000,WA,Newcastle,Soccer Club of Renton East,D3 S3 U12
Seattle United Copa B00,B00,Aug 2001 to Jul 2000,WA,Seattle,Seattle United,RCL D1 U12
Seattle United NE Blue B00,B00,Aug 2001 to Jul 2000,WA,Seattle,Seattle United,NPSL D2 U12
Seattle United S Black B00,B00,Aug 2001 to Jul 2000,WA,Seattle,Seattle United,NPSL D1 U12
Seattle United S Blue B00,B00,Aug 2001 to Jul 2000,WA,Seattle,Seattle United,NPSL D1 U12
Seattle United S White B00,B00,Aug 2001 to Jul 2000,WA,Seattle,Seattle United,NPSL D2 U12
Seattle United Samba B00,B00,Aug 2001 to Jul 2000,WA,Seattle,Seattle United,RCL D3 U12
Seattle United Shoreline Blue B00,B00,Aug 2001 to Jul 2000,WA,Seattle,Seattle United,NPSL D2 U12
Seattle United Tango B00,B00,Aug 2001 to Jul 2000,WA,Seattle,Seattle United,RCL D2 U12
Seattle United W Blue B00,B00,Aug 2001 to Jul 2000,WA,Seattle,Seattle United,NPSL D2 U12
Seattle United W White B00,B00,Aug 2001 to Jul 2000,WA,Seattle,Seattle United,NPSL D2 U12
SGESC Fusion Raptors B00,B00,Aug 2001 to Jul 2000,WA,Graham,Spanaway Graham Eatonville SC,D3 S3 U12
Sherwood Strikers B00,B00,Aug 2001 to Jul 2000,OR,,,PML Red U12
Silver FC B00,B00,Aug 2001 to Jul 2000,WA,Bremerton,Silver FC,PSPL Copa U12
Silverton SA Chelsea B00,B00,Aug 2001 to Jul 2000,OR,,Silverton Soccer Academy,PML Blue
SK Eagles Maroon B00,B00,Aug 2001 to Jul 2000,WA,Port Orchard,South Kitsap SC,D3 S3 U12
SK Eagles White B00,B00,Aug 2001 to Jul 2000,WA,Port Orchard,South Kitsap SC,D3 S1 U12
SK United Eagles (unk) B00,B00,Aug 2001 to Jul 2000,WA,Port Orchard,South Kitsap SC,
Slammers Orange B00,B00,Aug 2001 to Jul 2000,WA,Auburn,Rainier Valley Slammers,RCL D4 U12
Snohomish United Black B00,B00,Aug 2001 to Jul 2000,WA,Snohomish,Snohomish Youth SC,RCL D2 U12
Snohomish United Red B00,B00,Aug 2001 to Jul 2000,WA,Snohomish,Snohomish Youth SC,RCL D4 U12
Southside SC Azzuri B00,B00,Aug 2001 to Jul 2000,OR,Tualatin,Southside SC,OPL NPL U12
Sparta Red B00,B00,Aug 2001 to Jul 2000,WA,Tacoma,North Tacoma SC,D3 S1 U12
Sparta White B00,B00,Aug 2001 to Jul 2000,WA,Tacoma,North Tacoma SC,D3 S2 U12
Spokane Pumas Black B00,B00,Aug 2001 to Jul 2000,WA,Spokane,,PSPL In-Copa U12
Spokane Scotties Manthei B00,B00,Aug 2001 to Jul 2000,WA,Spokane,,PSPL In-Copa U12
SSC Shadow A B00,B00,Aug 2001 to Jul 2000,WA,Spokane,Spokane SC Shadow,RCL D1 U12
SSC Shadow B B00,B00,Aug 2001 to Jul 2000,WA,Spokane,Spokane SC Shadow,RCL D4 U12
SSC Shadow Elite Windham B00,B00,Aug 2001 to Jul 2000,WA,Spokane Valley,Spokane SC Shadow,D6 Adidas
SSC Shadow United Rojas B00,B00,Aug 2001 to Jul 2000,WA,Spokane,Spokane Shadow SC,D6 Adidas U12
Sting SC Ajax B00,B00,Aug 2001 to Jul 2000,ID,Hayden,Sting SC,D6 Adidas
Sting SC Manchester B00,B00,Aug 2001 to Jul 2000,ID,Hayden,Sting SC,PSPL In-Copa U12
Storm King B00,B00,Aug 2001 to Jul 2000,WA,Port Angeles,Storm King SC,D3 Gold
Sun City Strikers Red B00,B00,Aug 2001 to Jul 2000,WA,Yakima,,RCL D3 U12
SVFC United Crump B00,B00,Aug 2001 to Jul 2000,WA,Spokane,Spokane Valley United SC,D6 Reebok
Tacoma United Milan B00,B00,Aug 2001 to Jul 2000,WA,Tacoma,,D3 S1
Tacoma United Pumas B00,B00,Aug 2001 to Jul 2000,WA,Tacoma,,Tourn. team
TC United B00,B00,Aug 2001 to Jul 2000,WA,Lacey,Thurston County United,D3 S1
Timber Barons B00,B00,Aug 2001 to Jul 2000,WA,Longview,Cowlitz Youth Soccer Association Timber Barons,PML Blue
TSS Academy Datillo B00,B00,Aug 2001 to Jul 2000,OR,,,
TUSK Vipers B00,B00,Aug 2001 to Jul 2000,WA,Tukwila,Tukwila Skyway SC,D3 S1
Tynecastle FC B00,B00,Aug 2001 to Jul 2000,WA,Everett,Tynecastle FC,PSPL Classic
Tynecastle FC Outliers B00,B00,Aug 2001 to Jul 2000,WA,Bellevue,Tynecastle FC,PSPL WSPL U12
Tynecastle Select (mix) B00,B00,Aug 2001 to Jul 2000,WA,Everett,Tynecastle FC,Tourn. team
United SA Panthers B00,B00,Aug 2001 to Jul 2000,OR,,,OPL 1st Div
UPSC Eagles B00,B00,Aug 2001 to Jul 2000,WA,University Place,University Place Soccer Club,D3 Gold
UPSC Lightning B00,B00,Aug 2001 to Jul 2000,WA,University Place,University Place Soccer Club,D3 S2
Vancouver Timbers Red B00,B00,Aug 2001 to Jul 2000,WA,Vancouver,Vancouver United Soccer Alliance,OPL NPL
Vancouver Timbers Rojo B00,B00,Aug 2001 to Jul 2000,WA,Vancouver,Vancouver United Soccer Alliance,PML Blue
VYSA Kirk B00,B00,Aug 2001 to Jul 2000,ID,Lewiston,Valley Youth Soccer Association,D6 Umbro
WA Rush Nike B00,B00,Aug 2001 to Jul 2000,WA,Everett,Washington Rush SC,RCL D1 U12
WA Rush Swoosh B00,B00,Aug 2001 to Jul 2000,WA,Everett,Washington Rush SC,RCL D4 U12
WAFC Aztecas B00,B00,Aug 2001 to Jul 2000,OR,Woodburn,Woodburn Athletic FC,OPL 3rd Div
WAFC Barca B00,B00,Aug 2001 to Jul 2000,OR,Woodburn,Woodburn Athletic FC,OPL 1st Div
WAFC Juventus B00,B00,Aug 2001 to Jul 2000,OR,Woodburn,Woodburn Athletic FC,OPL NPL
WAFC Real Madrid B00,B00,Aug 2001 to Jul 2000,OR,Woodburn,Woodburn Athletic FC,OPL NPL
Wenatchee Fire Black B00,B00,Aug 2001 to Jul 2000,WA,Wenatchee,Wenatchee Fire FC,PSPL Classic
Westside Timbers Copa B00,B00,Aug 2001 to Jul 2000,OR,Beaverton,Westside Timbers,OPL NPL
Westside Timbers Copa TS B00,B00,Aug 2001 to Jul 2000,OR,Beaverton,Westside Timbers,OPL 2nd Div
Westside Timbers Mundial B00,B00,Aug 2001 to Jul 2000,OR,Beaverton,Westside Timbers,OPL 2nd Div
Westside Timbers Samba B00,B00,Aug 2001 to Jul 2000,OR,Beaverton,Westside Timbers,OPL 1st Div
Westsound FC Red B00,B00,Aug 2001 to Jul 2000,WA,Silverdale,Westsound FC,RCL D2 U12
WH Team Grantham B00,B00,Aug 2001 to Jul 2000,WA,,,D3 S3
Whatcom Rangers Gold B00,B00,Aug 2001 to Jul 2000,WA,Bellingham,Whatcom FC Rangers,RCL D3 U12
WPFC Black B00,B00,Aug 2001 to Jul 2000,WA,Tacoma,Washington Premier FC,RCL D1 U12
WPFC Fury Black B00,B00,Aug 2001 to Jul 2000,WA,Tacoma,Franklin Pierce SC,NPSL D1
WPFC Navy B00,B00,Aug 2001 to Jul 2000,WA,Tacoma,Washington Premier FC,RCL D4 U12
WPFC White B00,B00,Aug 2001 to Jul 2000,WA,Tacoma,Washington Premier FC,RCL D2 U12
WS Panthers B00,B00,Aug 2001 to Jul 2000,WA,West Seattle,West Seattle SC,D3 S1
WS Tecos B00,B00,Aug 2001 to Jul 2000,WA,West Seattle,West Seattle SC,D3 Gold
WSA Barcelona B00,B00,Aug 2001 to Jul 2000,WA,Camas,Camas Washougal Soccer Club (Washington Soccer Academy),PML Red
WSA Inter B00,B00,Aug 2001 to Jul 2000,WA,Camas,Camas Washougal Soccer Club (Washington Soccer Academy),PML Red
WSA Rangers B00,B00,Aug 2001 to Jul 2000,WA,Camas,Camas Washougal Soccer Club (Washington Soccer Academy),OPL 1st Div
WUSC Boca Jrs. B00,B00,Aug 2001 to Jul 2000,OR,Willamette,Willamette United Soccer Club,OPL 2nd Div
XiFA 2019 B00,B00,Aug 2001 to Jul 2000,WA,Mead,XiFA Academy,PSPL In-Copa U12
AR Nike B01,B01,Aug 2002 to Jul 2001,Unk,,,
Crossfire Premier A B01,B01,Aug 2002 to Jul 2001,WA,Redmond,Crossfire Premier SC,RCL D1 U12
WPFC White B01,B01,Aug 2002 to Jul 2001,WA,Tacoma,Washington Premier FC,
XiFA 2020 B00,B01,Aug 2002 to Jul 2001,WA,Mead,XiFA Academy,PSPL In-Copa U11
